city,province,city_area,builtup_area,reg_pop,resident_pop,gdp,,,,,,,,,,,,,,,,,,,
淮安,江苏,10030,155,564.45,487.2,2745.09,,,,,,,,,,,,,,,,,,,
太原,山西,6988,340,404.19,431.87,2735.34,,,,,,,,,,,,,,,,,,,
常德,湖南,18190,90.22,609.2,584.39,2709.02,,,,,,,,,,,,,,,,,,,
聊城,山东,1710,98.7,622.34,597.06,2663.62,,,,,,,,,,,,,,,,,,,
榆林,陕西,43578,70,377.46,340.11,2621.29,,,,,,,,,,,,,,,,,,,
衡阳,湖南,15310,113.53,790,733.75,2601.57,,,,,,,,,,,,,,,,,,,
*顺德,广东,806,140,128.49,253.53,2586.6,,,,,,,,,,,,,,,,,,,
廊坊,河北,6500,93.1,413.33,456.32,2473.86,,,,,,,,,,,,,,,,,,,
芜湖,安徽,6026,165,384.79,365.45,2457.32,,,,,,,,,,,,,,,,,,,
茂名,广东,11445,120.39,785.84,608.08,2445.6,,,,,,,,,,,,,,,,,,,
菏泽,山东,1415,99.6,1003.06,850.03,2400.96,,,,,,,,,,,,,,,,,,,
吉林,吉林,27711,185,426.24,426.24,2394.19,,,,,,,,,,,,,,,,,,,
湛江,广东,12490,108.95,822.96,724.14,2380,,,,,,,,,,,,,,,,,,,
滨州,山东,3763,138.3,389.07,385.9,2355.33,,,,,,,,,,,,,,,,,,,
鞍山,辽宁,9252,170.9,346,361.15,2337,,,,,,,,,,,,,,,,,,,
株洲,湖南,11262,137.98,403.7,400.05,2335.11,,,,,,,,,,,,,,,,,,,
柳州,广西,18597,184,381.62,390.46,2298.62,,,,,,,,,,,,,,,,,,,
江门,广东,9541,150,391.41,451.95,2240,,,,,,,,,,,,,,,,,,,
许昌,河南,4996,90,490,434,2171.16,,,,,,,,,,,,,,,,,,,
遵义,贵州,30763,66,792.7,619.21,2168.34,,,,,,,,,,,,,,,,,,,
连云港,江苏,7615,206,530.56,447.37,2160.64,,,,,,,,,,,,,,,,,,,
咸阳,陕西,10246,90.12,527.59,497.24,2155.91,,,,,,,,,,,,,,,,,,,
宿迁,江苏,8524,84.7,586.28,485.38,2126.19,,,,,,,,,,,,,,,,,,,
兰州市,甘肃,13300,305.3,321.9,369.31,2095.99,,,,,,,,,,,,,,,,,,,
周口,河南,11959,68.13,1142,881,2089.7,,,,,,,,,,,,,,,,,,,
湖州,浙江,5820,102.9,263.71,295,2084.26,,,,,,,,,,,,,,,,,,,
枣庄,山东,3076,149.3,407.77,387.8,2031,,,,,,,,,,,,,,,,,,,
珠海,广东,1701,123.64,112.45,163.41,2025.4,,,,,,,,,,,,,,,,,,,
郴州,湖南,19388,77.23,509.76,473.02,2012.07,,,,,,,,,,,,,,,,,,,
新乡,河南,8249,114.79,607,572,1975.03,,,,,,,,,,,,,,,,,,,
赣州,江西,39380,141.4,960.63,854.71,1973.87,,,,,,,,,,,,,,,,,,,
肇庆,广东,15056,117.45,438.27,405.96,1970,,,,,,,,,,,,,,,,,,,
桂林,广西,27809,99,528.97,494.04,1942.9,,,,,,,,,,,,,,,,,,,
焦作,河南,4071,111.2,371,353,1926.08,,,,,,,,,,,,,,,,,,,
九江,江西,18823,105.63,508.6,482.58,1902.68,,,,,,,,,,,,,,,,,,,
揭阳,广东,5240,129,701.68,605.89,1890,,,,,,,,,,,,,,,,,,,
信阳,河南,18000,89,870,640,1879.67,,,,,,,,,,,,,,,,,,,
通辽市,内蒙古,59500,61.2,312.08,312.08,1877.44,,,,,,,,,,,,,,,,,,,
安阳,河南,5599,81,582,512,1872.35,,,,,,,,,,,,,,,,,,,
汕头,广东,2064,253.6,550.46,555.21,1868,,,,,,,,,,,,,,,,,,,
赤峰市,内蒙古,90000,105,429.95,429.95,1861.27,,,,,,,,,,,,,,,,,,,
商丘,河南,10704,63,909,727,1812.16,,,,,,,,,,,,,,,,,,,
驻马店,河南,15000,75.1,905,696,1807.69,,,,,,,,,,,,,,,,,,,
宝鸡,陕西,18117,87,384.54,376.33,1788.59,,,,,,,,,,,,,,,,,,,
邢台,河北,12486,90.12,718.63,729.44,1764.73,,,,,,,,,,,,,,,,,,,
龙岩,福建,19028,58.36,309.38,260,1738.49,,,,,,,,,,,,,,,,,,,
三明,福建,22929,37.45,284.21,252,1713.05,,,,,,,,,,,,,,,,,,,
湘潭,湖南,5015,79.81,299.94,282.37,1703.1,,,,,,,,,,,,,,,,,,,
绵阳,四川,20248,125,545.5,477.19,1700.33,,,,,,,,,,,,,,,,,,,
平顶山,河南,7882,73.4,544,496,1686.01,,,,,,,,,,,,,,,,,,,
日照,山东,2043,100.8,295.95,288,1670.8,,,,,,,,,,,,,,,,,,,
莆田,福建,4119,86.9,344.26,286,1655.6,,,,,,,,,,,,,,,,,,,
上饶,江西,22791,77.36,773.09,671.51,1650.81,,,,,,,,,,,,,,,,,,,
松原,吉林,21089,50.08,278.07,278.07,1637.3,,,,,,,,,,,,,,,,,,,
宜春,江西,18669,68,573.1,551.2,1621.02,,,,,,,,,,,,,,,,,,,
开封,河南,6266,129.09,517,454,1605.84,,,,,,,,,,,,,,,,,,,
德阳,四川,5910,74.55,390,351.32,1605.06,,,,,,,,,,,,,,,,,,,
呼伦贝尔市,内蒙古,253000,59.46,252.65,252.65,1596.01,,,,,,,,,,,,,,,,,,,
荆州,湖北,14067,98.68,643.19,570.59,1590.5,,,,,,,,,,,,,,,,,,,
黄冈,湖北,17457,38.16,744.42,629.1,1589.24,,,,,,,,,,,,,,,,,,,
宜宾,四川,13266,87.27,552.1,449,1525.9,,,,,,,,,,,,,,,,,,,
南充,四川,12477,115.34,742.3,636.4,1516.2,,,,,,,,,,,,,,,,,,,
营口,辽宁,5416,110,232.6,244.45,1513.75,,,,,,,,,,,,,,,,,,,
银 川 市,宁夏,8875,165.74,216.41,216.41,1493.86,,,,,,,,,,,,,,,,,,,
宁德,福建,13452,29.81,348.92,286,1487.36,,,,,,,,,,,,,,,,,,,
渭南,陕西,13134,71,556.72,535.99,1469.08,,,,,,,,,,,,,,,,,,,
毕节,贵州,26852,42.5,905.32,660.61,1461.35,,,,,,,,,,,,,,,,,,,
孝感,湖北,8910,49.36,526.48,487.8,1457.2,,,,,,,,,,,,,,,,,,,
玉林,广西,12838,68,710.73,568.36,1445.91,,,,,,,,,,,,,,,,,,,
永州,湖南,22441,62.21,630.94,542.97,1418.18,,,,,,,,,,,,,,,,,,,
安庆,安徽,13590,85,525.48,458.61,1417.43,,,,,,,,,,,,,,,,,,,
荆门,湖北,12404,53.3,299.09,289.63,1388.46,,,,,,,,,,,,,,,,,,,
邵阳,湖南,21000,65,821.37,726.17,1387,,,,,,,,,,,,,,,,,,,
马鞍山,安徽,4049,93,228.5,226.22,1365.3,,,,,,,,,,,,,,,,,,,
张家口,河北,36860,86,462.31,442.17,1363.54,,,,,,,,,,,,,,,,,,,
承德,河北,39519,116.97,371.91,353.01,1358.73,,,,,,,,,,,,,,,,,,,
益阳,湖南,12144,75,480.82,441.02,1354.41,,,,,,,,,,,,,,,,,,,
泸州,四川,12236,120.07,505.7,428.52,1353.41,,,,,,,,,,,,,,,,,,,
达州,四川,16582,74.13,682.8,556.76,1350.76,,,,,,,,,,,,,,,,,,,
南平,福建,26281,41.24,319.86,263,1339.43,,,,,,,,,,,,,,,,,,,
吉安,江西,25219,55.05,505.5,489.9,1328.52,,,,,,,,,,,,,,,,,,,
濮阳,河南,4188,56,392,361,1328.34,,,,,,,,,,,,,,,,,,,
锦州,辽宁,10301,77.1,302.6,307.2,1327.33,,,,,,,,,,,,,,,,,,,
凉山,四川,60294,38.71,503.9,468,1314.84,,,,,,,,,,,,,,,,,,,
滁州,安徽,13398,84,449.06,401.71,1305.7,,,,,,,,,,,,,,,,,,,
乐山,四川,12723,74.34,353.8,326.05,1301.23,,,,,,,,,,,,,,,,,,,
十堰,湖北,23680,105.26,345.94,338.3,1300.12,,,,,,,,,,,,,,,,,,,
娄底,湖南,8118,62.2,447.7,387.18,1291.38,,,,,,,,,,,,,,,,,,,
清远,广东,19000,78,418.51,383.45,1277.8,,,,,,,,,,,,,,,,,,,
怀化,湖南,27600,64,525.85,490.16,1273.25,,,,,,,,,,,,,,,,,,,
资阳,四川,7960,45.2,503.7,356.93,1270.38,,,,,,,,,,,,,,,,,,,
阜阳,安徽,9775,122,1042.65,790.15,1267.45,,,,,,,,,,,,,,,,,,,
盘锦,辽宁,4071,74.9,129.5,143.85,1256.54,,,,,,,,,,,,,,,,,,,
蚌埠,安徽,5952,138,376.35,329.14,1253.05,,,,,,,,,,,,,,,,,,,
三门峡,河南,10496,56,229,225,1251.04,,,,,,,,,,,,,,,,,,,
秦皇岛,河北,7812,131.45,341,307.32,1250.44,,,,,,,,,,,,,,,,,,,
阳江,广东,7822,60,292.12,251.12,1250,,,,,,,,,,,,,,,,,,,
宿州,安徽,9787,75,649.51,554.12,1235.83,,,,,,,,,,,,,,,,,,,
四平,吉林,14382,57.87,326.41,326.41,1233.25,,,,,,,,,,,,,,,,,,,
黄石,湖北,4586,76.55,267.97,245.8,1228.11,,,,,,,,,,,,,,,,,,,
衡水,河北,8815,54.42,436.27,443.54,1220.01,,,,,,,,,,,,,,,,,,,
抚顺,辽宁,11271,138,215.8,207.6,1216.48,,,,,,,,,,,,,,,,,,,
六盘水,贵州,9914,71.68,333.84,288.99,1201.08,,,,,,,,,,,,,,,,,,,
延安,陕西,36712,36,235.5,223.13,1198.63,,,,,,,,,,,,,,,,,,,
内江,四川,5385,71.14,420.4,373.97,1198.58,,,,,,,,,,,,,,,,,,,
长治,山西,13864,76.6,400.15,342.04,1195.34,,,,,,,,,,,,,,,,,,,
运城,山西,14106,83,616.18,527.53,1174.01,,,,,,,,,,,,,,,,,,,
本溪,辽宁,8414,109,151.2,172.15,1164.69,,,,,,,,,,,,,,,,,,,
海口市,海南,2305,152.4,164.8,222.3,1161.96,,,,,,,,,,,,,,,,,,,
临汾,山西,20275,72.4,517.99,443.57,1161.11,,,,,,,,,,,,,,,,,,,
韶关,广东,18380,99.23,330.21,293.15,1149.9,,,,,,,,,,,,,,,,,,,
衢州,浙江,8845,71,256.38,213.3,1146.13,,,,,,,,,,,,,,,,,,,
自贡,四川,4381,112.08,327.5,277.02,1143.11,,,,,,,,,,,,,,,,,,,
抚州,江西,18817,59.13,417.8,399.28,1105.14,,,,,,,,,,,,,,,,,,,
丽水,浙江,17324,34.9,266.38,213.9,1103.29,,,,,,,,,,,,,,,,,,,
舟山,浙江,1455,62,97.36,115.2,1092.85,,,,,,,,,,,,,,,,,,,
梧州,广西,12572,56,343.92,298.75,1078.65,,,,,,,,,,,,,,,,,,,
汉中,陕西,27246,36,385.21,343.81,1064.83,,,,,,,,,,,,,,,,,,,
大同,山西,14176,125.2,328.17,340.64,1053.37,,,,,,,,,,,,,,,,,,,
晋中,山西,16408,62.1,389.93,333.57,1046.12,,,,,,,,,,,,,,,,,,,
晋城,山西,9490,56.5,273.5,231.5,1040.24,,,,,,,,,,,,,,,,,,,
咸宁,湖北,10049,42.76,300.41,250.7,1030.07,,,,,,,,,,,,,,,,,,,
眉山,四川,7140,62.38,349.1,300.13,1029.86,,,,,,,,,,,,,,,,,,,
辽阳,辽宁,4744,104.9,179,184.75,1028.58,,,,,,,,,,,,,,,,,,,
六安,安徽,14990,74,580.53,474.12,1016.49,,,,,,,,,,,,,,,,,,,
广安,四川,6341,50.05,467.4,324.66,1005.61,,,,,,,,,,,,,,,,,,,
通化,吉林,15612,53.16,221.1,221.1,1001.21,,,,,,,,,,,,,,,,,,,
锡林郭勒盟,内蒙古,202600,42,104.26,104.26,1000.1,,,,,,,,,,,,,,,,,,,
漯河,河南,2617,66,279,263,992.59,,,,,,,,,,,,,,,,,,,
丹东,辽宁,15222,77.1,238.1,241.1,984.9,,,,,,,,,,,,,,,,,,,
百色,广西,36201,45,413.19,358.28,980.42,,,,,,,,,,,,,,,,,,,
宣城,安徽,12340,52,279.95,259.24,971.46,,,,,,,,,,,,,,,,,,,
梅州,广东,15925,56,543.79,434.08,959.7,,,,,,,,,,,,,,,,,,,
吕梁,山西,21095,24.2,447.25,383.22,955.8,,,,,,,,,,,,,,,,,,,
新余,江西,3178,76,120.5,116.67,946.8,,,,,,,,,,,,,,,,,,,
钦州,广西,10895,93,404.1,319.49,944.42,,,,,,,,,,,,,,,,,,,
亳州,安徽,8374,56,634.95,504.69,942.61,,,,,,,,,,,,,,,,,,,
攀枝花,四川,7401,74.08,110.6,123.25,925.18,,,,,,,,,,,,,,,,,,,
遂宁,四川,5323,75.94,378.8,329,915.81,,,,,,,,,,,,,,,,,,,
乌兰察布市,内蒙古,55000,60,211.13,211.13,913.77,,,,,,,,,,,,,,,,,,,
萍乡,江西,3802,50.87,192.4,190.11,912.39,,,,,,,,,,,,,,,,,,,
铜陵,安徽,3008,76,170.43,159.22,911.6,,,,,,,,,,,,,,,,,,,
潮州,广东,3614,74.43,272.8,264.05,910.1,,,,,,,,,,,,,,,,,,,
黔南州(都匀),贵州,26195,32,414.3,324.22,902.91,,,,,,,,,,,,,,,,,,,
朔州,山西,10700,53.6,205.79,176.22,901.13,,,,,,,,,,,,,,,,,,,
淮南,安徽,5571,108,383.39,343.11,901.08,,,,,,,,,,,,,,,,,,,
北海,广西,3337,73,171.97,161.47,891.94,,,,,,,,,,,,,,,,,,,
巴彦淖尔市,内蒙古,64400,51,167.73,167.73,887.43,,,,,,,,,,,,,,,,,,,
贵港,广西,10602,71,548.94,427.47,865.2,,,,,,,,,,,,,,,,,,,
延边州,吉林,43474,35.5,213.58,213.58,858.84,,,,,,,,,,,,,,,,,,,
朝阳,辽宁,19736,57.1,340.9,296.25,854.73,,,,,,,,,,,,,,,,,,,
万州区,重庆,3453,65,175.47,160.74,828.22,,,,,,,,,,,,,,,,,,,
涪陵区,重庆,2941,50,116.19,114.08,813.19,,,,,,,,,,,,,,,,,,,
黔东南州(凯里),贵州,30339,67,473.05,348.54,811.55,,,,,,,,,,,,,,,,,,,
河源,广东,15821,36.11,366.41,307.35,810,,,,,,,,,,,,,,,,,,,
黔西南州(兴义),贵州,16805,43.5,351.8,282.16,801.65,,,,,,,,,,,,,,,,,,,
随州,湖北,9636,78,250.97,219.08,785.26,,,,,,,,,,,,,,,,,,,
安康,陕西,23391,40,304.8,265,772.46,,,,,,,,,,,,,,,,,,,
景德镇,江西,5248,78.68,166.7,164.05,772.06,,,,,,,,,,,,,,,,,,,
铜仁,贵州,18003,34.68,437.41,312.24,770.89,,,,,,,,,,,,,,,,,,,
汕尾,广东,4838,45,358.96,302.16,762,,,,,,,,,,,,,,,,,,,
淮北,安徽,2741,85,216.5,217.88,760.39,,,,,,,,,,,,,,,,,,,
铁岭,辽宁,13000,57,300.4,265.7,740.9,,,,,,,,,,,,,,,,,,,
鄂州,湖北,1596,40.07,110.29,105.95,730.01,,,,,,,,,,,,,,,,,,,
辽源,吉林,5140,46.3,120.8,120.8,726.64,,,,,,,,,,,,,,,,,,,
葫芦岛,辽宁,10415,85.9,280.1,255.6,720.17,,,,,,,,,,,,,,,,,,,
鹤壁,河南,2182,64.12,163,161,715.65,,,,,,,,,,,,,,,,,,,
云浮,广东,7779,28.41,298.93,246.05,713,,,,,,,,,,,,,,,,,,,
白城,吉林,25759,42.87,196.67,196.67,699.68,,,,,,,,,,,,,,,,,,,
崇左,广西,17332,28,248.8,204.71,682.82,,,,,,,,,,,,,,,,,,,
忻州,山西,25472,30.5,368.1,314.13,681.24,,,,,,,,,,,,,,,,,,,
恩施州,湖北,24061,36,402.61,332.7,670.81,,,,,,,,,,,,,,,,,,,
白山,吉林,17505,47.02,125.37,125.37,668.55,,,,,,,,,,,,,,,,,,,
莱芜,山东,2246,120,128.32,135.16,665.83,,,,,,,,,,,,,,,,,,,
鹰潭,江西,3554,33.8,124,115.33,639.26,,,,,,,,,,,,,,,,,,,
安顺,贵州,9267,66.3,296.11,231.35,625.41,,,,,,,,,,,,,,,,,,,
商洛,陕西,19851,26,251,235.74,621.83,,,,,,,,,,,,,,,,,,,
防城港,广西,6238,38,95.61,91.32,620.71,,,,,,,,,,,,,,,,,,,
河池,广西,33475,23,424.54,346.41,618.03,,,,,,,,,,,,,,,,,,,
庆阳市,甘肃,27900,24.3,267.31,223.05,609.43,,,,,,,,,,,,,,,,,,,
江津区,重庆,3216,48.85,149.53,133.19,605.59,,,,,,,,,,,,,,,,,,,
广元,四川,16311,56.34,305.3,263,605.43,,,,,,,,,,,,,,,,,,,
仙桃,湖北,2520,26.51,156.08,115.5,597.61,,,,,,,,,,,,,,,,,,,
阳泉,山西,4452,50.6,164.22,139.83,595.7,,,,,,,,,,,,,,,,,,,
永川区,重庆,1579,60,113.15,109.61,570.34,,,,,,,,,,,,,,,,,,,
乌海市,内蒙古,1700,62.3,55.58,55.58,559.83,,,,,,,,,,,,,,,,,,,
来宾,广西,13411,41,265.84,217.29,557.93,,,,,,,,,,,,,,,,,,,
潜江,湖北,1930,25.69,101.77,95.8,557.57,,,,,,,,,,,,,,,,,,,
天水市,甘肃,14400,56,367.17,331.17,553.77,,,,,,,,,,,,,,,,,,,
酒泉市,甘肃,19600,51.5,101.32,111.54,544.8,,,,,,,,,,,,,,,,,,,
池州,安徽,8272,37,161.61,143.63,544.74,,,,,,,,,,,,,,,,,,,
黄山,安徽,9807,65,147.69,137.37,530.9,,,,,,,,,,,,,,,,,,,
阜新,辽宁,10445,76.5,189.5,178.2,525.54,,,,,,,,,,,,,,,,,,,
雅安,四川,15046,33.14,154.9,154.68,502.58,,,,,,,,,,,,,,,,,,,
兴安盟,内蒙古,59800,38.5,159.91,159.91,502.31,,,,,,,,,,,,,,,,,,,
巴中,四川,12283,33.66,379.5,332.86,501.34,,,,,,,,,,,,,,,,,,,
湘西,湖南,15462,47.6,293.99,263.45,497.19,,,,,,,,,,,,,,,,,,,
济源,河南,1931,45.01,70,73,492.54,,,,,,,,,,,,,,,,,,,
石嘴山市,宁夏,5208,75,78.8,78.8,482.6,,,,,,,,,,,,,,,,,,,
合川区,重庆,2343,28.8,154.43,136.06,476.19,,,,,,,,,,,,,,,,,,,
贺州,广西,11753,24,239.79,201.96,468.11,,,,,,,,,,,,,,,,,,,
张家界,湖南,9653,32.96,169.97,152.4,447.7,,,,,,,,,,,,,,,,,,,
儋州市,海南,3265,82.42,104.54,97.77,443.25,,,,,,,,,,,,,,,,,,,
天门,湖北,2528,25.58,162.8,129.2,440.1,,,,,,,,,,,,,,,,,,,
三亚市,海南,1919,68.48,57.78,74.89,435.82,,,,,,,,,,,,,,,,,,,
白银市,甘肃,21200,61.2,180.76,170.99,434.27,,,,,,,,,,,,,,,,,,,
长寿区,重庆,1421,50,90.17,82.43,430.12,,,,,,,,,,,,,,,,,,,
武威市,甘肃,168000,31,190.04,181.64,416.19,,,,,,,,,,,,,,,,,,,
吴 忠 市,宁夏,21420,125,140.41,137.32,405.6,,,,,,,,,,,,,,,,,,,
璧山区,重庆,915,38.2,63.95,72.52,381.76,,,,,,,,,,,,,,,,,,,
綦江区,重庆,2747,28,120.65,107.84,378.04,,,,,,,,,,,,,,,,,,,
张掖市,甘肃,40900,64.2,130.07,121.98,373.53,,,,,,,,,,,,,,,,,,,
大足区,重庆,1434,25,105.39,76.39,349.17,,,,,,,,,,,,,,,,,,,
平凉市,甘肃,33200,36,233.08,209.8,347.7,,,,,,,,,,,,,,,,,,,
荣昌区,重庆,1077,27,84.48,70.1,329.87,,,,,,,,,,,,,,,,,,,
开县,重庆,3959,18.38,168.35,117.07,325.98,,,,,,,,,,,,,,,,,,,
铜川,陕西,3882,44,83.64,84.62,324.54,,,,,,,,,,,,,,,,,,,
阿拉善盟,内蒙古,270200,0,24.35,24.35,322.58,,,,,,,,,,,,,,,,,,,
中 卫 市,宁夏,17448,32,114.16,114.16,316.89,,,,,,,,,,,,,,,,,,,
陇南市,甘肃,27100,10.4,285.76,259.09,315.14,,,,,,,,,,,,,,,,,,,
铜梁区,重庆,1342,17,84.53,68.72,308.2,,,,,,,,,,,,,,,,,,,
定西市,甘肃,11300,25,300.87,277.83,304.92,,,,,,,,,,,,,,,,,,,
潼南区,重庆,1341,13.3,95.22,68.23,265.2,,,,,,,,,,,,,,,,,,,
阿坝,四川,83016,5.06,91.4,93.01,265.04,,,,,,,,,,,,,,,,,,,
梁平县,重庆,1888,11.27,92.55,66.4,242.33,,,,,,,,,,,,,,,,,,,
澄迈县,海南,2068,6.91,57.82,48.39,240.49,,,,,,,,,,,,,,,,,,,
垫江县,重庆,1517,12,97.05,67.67,239.84,,,,,,,,,,,,,,,,,,,
金昌市,甘肃,8900,42.2,45.69,47.05,224.52,,,,,,,,,,,,,,,,,,,
忠县,重庆,2187,6.96,100.46,70.8,222.4,,,,,,,,,,,,,,,,,,,
固 原 市,宁夏,13449,52.33,150.11,121.18,217.32,,,,,,,,,,,,,,,,,,,
甘孜,四川,149599,3.8,109.2,116.49,213.04,,,,,,,,,,,,,,,,,,,
临夏州,甘肃,8000,23,225.02,201.21,211.41,,,,,,,,,,,,,,,,,,,
黔江区,重庆,2390,22,55.05,46.2,202.55,,,,,,,,,,,,,,,,,,,
琼海市,海南,1692,27.1,50.94,50.25,200.5,,,,,,,,,,,,,,,,,,,
奉节县,重庆,4098,5.99,106.41,75.33,197.43,,,,,,,,,,,,,,,,,,,
嘉峪关市,甘肃,2900,69.5,20.25,24.39,190.04,,,,,,,,,,,,,,,,,,,
